labelAnnotations,fullTextAnnotation,image_file
"Windshield,Automotive design,Crowd,Automotive window part,Personal luxury car,Motor vehicle,Automotive exterior,Family car,Passenger,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1030.jpeg
"Event,Personal luxury car,Motor vehicle,Automotive exterior,Vehicle door,Vehicle,Hat,Car,Travel,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1031.jpeg
"Automotive window part,Automotive lighting,Event,Motor vehicle,Automotive exterior,Vehicle door,Fun,Travel,Glass,Automotive design",I,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1032.jpeg
"Customer,Event,Leisure,Flooring,City,Sitting,Fun,Travel,Glass,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1033.jpeg
"Plant,Snapshot,Customer,Photograph,Motor vehicle,Luggage and bags,Retail,Travel,Product,Automotive design",ON ON,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1034.jpeg
"Carmine,Automotive design,Crowd,Automotive lighting,Parking,Road,Air travel,Magenta,Font,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1035.jpeg
"Tints and shades,Magenta,Liquid,Glass,Ceiling,Room",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1036.jpeg
"Windshield,Automotive lighting,Automotive exterior,Tints and shades,Metal,Road,City,Font,Glass,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1037.jpeg
"Customer,Event,Metal,Transport,City,Font,Fun,Glass,Ceiling,Room",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1038.jpeg
"Automotive tire,Automotive lighting,Motor vehicle,Automotive exterior,Tints and shades,Rim,Steering wheel,Personal luxury car,Glass,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1039.jpeg
"Cap,Gesture,Jeans,Cricket cap,Recreation,T-shirt,Hat,Baseball cap,Sleeve,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_104.jpeg
